NUTS_id;FieldConditionModifier;CropSpecificMaxRootingDepth;MaxAssimilationRate;SpecificLeafArea;region_id
CZ020;0.79;0.98;34;0.94;1
CZ042;0.96;1.72;46;0.57;2
CZ051;0.74;1.75;31;1.08;3
CZ052;0.76;1.3;32;1.04;4
CZ031;0.73;0.95;30;1.15;5
CZ053;0.8;1.57;32;0.92;6
CZ080;0.78;1;32;0.95;7
CZ071;0.84;1.92;32;0.89;8
CZ041;0.7;1.37;30;1.23;9
CZ063;0.8;1.83;34;0.85;10
CZ064;0.93;1.26;41;0.61;11
CZ032;0.65;0.82;38;1.24;12
CZ072;0.8;1.55;31;0.95;13
CZ010;0.94;1.23;43;0.62;14
