NUTS_id;FieldConditionModifier;CropSpecificMaxRootingDepth;MaxAssimilationRate;SpecificLeafArea;region_id
CZ020;0.57;1.33;32;1.39;1
CZ042;0.61;1.69;30;1.35;2
CZ051;0.63;1.14;27;1.46;3
CZ052;0.56;1.82;32;1.47;4
CZ031;0.57;1.25;29;1.46;5
CZ053;0.61;1.2;28;1.45;6
CZ080;0.55;1.22;32;1.49;7
CZ071;0.58;1.32;29;1.49;8
CZ041;0.62;1.91;26;1.47;9
CZ063;0.58;1.08;29;1.46;10
CZ064;0.61;1.61;28;1.42;11
CZ032;0.63;1.88;25;1.49;12
CZ072;0.62;1.65;29;1.4;13
CZ010;0.68;1.17;26;1.37;14
