NUTS_id;FieldConditionModifier;CropSpecificMaxRootingDepth;MaxAssimilationRate;SpecificLeafArea;region_id
CZ020;0.87;1.41;32;0.66;1
CZ042;1;1.75;34;0.53;2
CZ051;0.84;1.1;30;0.69;3
CZ052;0.86;1.59;29;0.71;4
CZ031;0.78;1.28;32;0.7;5
CZ053;0.87;1.91;31;0.66;6
CZ080;;;;;7
CZ071;1;1.36;29;0.59;8
CZ041;0.93;1.5;27;0.65;9
CZ063;0.89;1.17;27;0.68;10
CZ064;0.91;1.33;38;0.52;11
CZ032;0.88;1.68;33;0.61;12
CZ072;0.85;1.62;33;0.64;13
CZ010;0.98;1.59;30;0.61;14
