NUTS_id;FieldConditionModifier;CropSpecificMaxRootingDepth;MaxAssimilationRate;SpecificLeafArea;region_id
CZ020;0.55;1.36;32;0.82;1
CZ042;0.62;1.3;37;0.58;2
CZ051;0.73;1.8;38;1.5;3
CZ052;6;1.72;34;1.08;4
CZ031;0.5;1.63;34;1.49;5
CZ053;0.54;1.61;36;1.03;6
CZ080;0.52;1.72;31;1.49;7
CZ071;0.53;1.82;36;1.5;8
CZ041;0.51;1.77;37;1.49;9
CZ063;0.58;1.77;30;1.47;10
CZ064;0.61;1.4;37;0.59;11
CZ032;0.5;1.77;32;1.42;12
CZ072;0.51;1.54;29;1.49;13
CZ010;0.74;1.71;38;0.87;14
