NUTS_id;FieldConditionModifier;CropSpecificMaxRootingDepth;MaxAssimilationRate;SpecificLeafArea;region_id
CZ020;1;1.91;99;0.92;1
CZ042;1;1.34;100;0.92;2
CZ051;1;1.84;99;0.92;3
CZ052;0.99;1.38;100;0.9;4
CZ031;0.98;1.63;94;1.16;5
CZ053;1;1.6;99;0.91;6
CZ080;1;1.94;97;0.94;7
CZ071;1;1.69;99;0.95;8
CZ041;0.64;0.95;93;0.92;9
CZ063;1;1.9;100;0.97;10
CZ064;1;1.73;98;0.96;11
CZ032;0.85;1.17;80;0.86;12
CZ072;1;1.9;100;0.92;13
CZ010;1;1.57;98;0.93;14
