NUTS_id;FieldConditionModifier;CropSpecificMaxRootingDepth;MaxAssimilationRate;SpecificLeafArea;region_id
CZ020;0.73;1.48;26;0.98;1
CZ042;0.8;1.61;32;0.76;2
CZ051;0.58;1.38;25;1.28;3
CZ052;0.65;1.97;26;1.13;4
CZ031;0.73;1.32;26;0.93;5
CZ053;0.65;1.95;29;1.01;6
CZ080;0.73;1.61;26;0.96;7
CZ071;0.7;1.7;27;1.03;8
CZ041;0.89;1.68;29;0.69;9
CZ063;0.66;1.47;27;1;10
CZ064;0.79;1.45;29;0.83;11
CZ032;0.9;1.3;27;0.71;12
CZ072;0.62;1.84;28;1.16;13
CZ010;0.77;1.86;29;0.92;14
