NUTS_id;FieldConditionModifier;CropSpecificMaxRootingDepth;MaxAssimilationRate;SpecificLeafArea;region_id
CZ020;1;1.78;99;1.48;1
CZ042;1;1.34;100;1.5;2
CZ051;1;1.6;100;1.49;3
CZ052;1;1.42;100;1.5;4
CZ031;1;1.62;98;1.5;5
CZ053;1;1.5;98;1.5;6
CZ080;1;1.73;94;1.49;7
CZ071;1;1.85;99;1.48;8
CZ041;1;1.53;99;1.48;9
CZ063;1;1.35;99;1.46;10
CZ064;1;1.38;97;1.47;11
CZ032;1;1.77;99;1.49;12
CZ072;1;1.35;100;1.49;13
CZ010;1;1.49;99;1.48;14
